## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/mnt/beegfs/home/s430452/epigenetics/results/s03_filtering/ARID2ko_chr_q20.bam] OUTPUT=/mnt/beegfs/home/s430452/epigenetics/results/s04_deduplication/ARID2ko_dedup.bam METRICS_FILE=/mnt/beegfs/home/s430452/epigenetics/results/s04_deduplication/ARID2ko_dedup.txt REMOVE_DUPLICATES=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 10 17:34:32 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	12604	2173251	0	0	6047	257737	384	0.119639	8433340

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000155	1678166	0	1678462
2.0	1.773104	201448	384	201225
3.0	2.370461	22408	0	22349
4.0	2.832116	2738	0	2725
5.0	3.188896	464	0	463
6.0	3.464626	146	0	146
7.0	3.677718	51	0	51
8.0	3.842402	21	0	21
9.0	3.969674	8	0	8
10.0	4.068034	6	0	6
11.0	4.144049	2	0	2
12.0	4.202796	2	0	2
13.0	4.248198	0	0	0
14.0	4.283285	3	0	3
15.0	4.310401	0	0	0
16.0	4.331358	0	0	0
17.0	4.347554	0	0	0
18.0	4.36007	0	0	0
19.0	4.369743	0	0	0
20.0	4.377219	0	0	0
21.0	4.382997	0	0	0
22.0	4.387462	1	0	1
23.0	4.390912	0	0	0
24.0	4.393579	0	0	0
25.0	4.39564	0	0	0
26.0	4.397233	0	0	0
27.0	4.398464	0	0	0
28.0	4.399415	0	0	0
29.0	4.40015	0	0	0
30.0	4.400718	0	0	0
31.0	4.401157	0	0	0
32.0	4.401497	0	0	0
33.0	4.401759	0	0	0
34.0	4.401962	0	0	0
35.0	4.402118	0	0	0
36.0	4.402239	0	0	0
37.0	4.402333	0	0	0
38.0	4.402405	0	0	0
39.0	4.402461	0	0	0
40.0	4.402504	0	0	0
41.0	4.402538	0	0	0
42.0	4.402563	0	0	0
43.0	4.402583	0	0	0
44.0	4.402599	0	0	0
45.0	4.402611	0	0	0
46.0	4.40262	0	0	0
47.0	4.402627	0	0	0
48.0	4.402632	0	0	0
49.0	4.402637	0	0	0
50.0	4.40264	0	0	0
51.0	4.402643	0	0	0
52.0	4.402645	0	0	0
53.0	4.402646	0	0	0
54.0	4.402647	0	0	0
55.0	4.402648	0	0	0
56.0	4.402649	0	0	0
57.0	4.402649	0	0	0
58.0	4.40265	0	0	0
59.0	4.40265	0	0	0
60.0	4.40265	0	0	0
61.0	4.402651	0	0	0
62.0	4.402651	0	0	0
63.0	4.402651	0	0	0
64.0	4.402651	0	0	0
65.0	4.402651	0	0	0
66.0	4.402651	0	0	0
67.0	4.402651	0	0	0
68.0	4.402651	0	0	0
69.0	4.402651	0	0	0
70.0	4.402651	0	0	0
71.0	4.402651	0	0	0
72.0	4.402651	0	0	0
73.0	4.402651	0	0	0
74.0	4.402651	0	0	0
75.0	4.402651	0	0	0
76.0	4.402651	0	0	0
77.0	4.402651	0	0	0
78.0	4.402651	0	0	0
79.0	4.402651	0	0	0
80.0	4.402651	0	0	0
81.0	4.402651	0	0	0
82.0	4.402651	0	0	0
83.0	4.402651	0	0	0
84.0	4.402651	0	0	0
85.0	4.402651	0	0	0
86.0	4.402651	0	0	0
87.0	4.402651	0	0	0
88.0	4.402651	0	0	0
89.0	4.402651	0	0	0
90.0	4.402651	0	0	0
91.0	4.402651	0	0	0
92.0	4.402651	0	0	0
93.0	4.402651	0	0	0
94.0	4.402651	0	0	0
95.0	4.402651	0	0	0
96.0	4.402651	0	0	0
97.0	4.402651	0	0	0
98.0	4.402651	0	0	0
99.0	4.402651	0	0	0
100.0	4.402651	0	0	0

