## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/mnt/beegfs/home/s430452/epigenetics/results/s03_filtering/ARID2wt_chr_q20.bam] OUTPUT=/mnt/beegfs/home/s430452/epigenetics/results/s04_deduplication/ARID2wt_dedup.bam METRICS_FILE=/mnt/beegfs/home/s430452/epigenetics/results/s04_deduplication/ARID2wt_dedup.txt REMOVE_DUPLICATES=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 10 17:33:34 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	15966	2394656	0	0	7638	201125	686	0.0853	13486698

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000262	2000715	0	2001298
2.0	1.837795	164100	686	163608
3.0	2.539072	14281	0	14201
4.0	3.126261	1783	0	1772
5.0	3.617922	411	0	412
6.0	4.029596	126	0	125
7.0	4.374297	57	0	57
8.0	4.662919	21	0	21
9.0	4.904586	17	0	17
10.0	5.106937	6	0	6
11.0	5.276369	5	0	5
12.0	5.418236	2	0	2
13.0	5.537023	3	0	3
14.0	5.636486	0	0	0
15.0	5.719767	0	0	0
16.0	5.789499	1	0	1
17.0	5.847887	0	0	0
18.0	5.896776	0	0	0
19.0	5.937711	1	0	1
20.0	5.971987	0	0	0
21.0	6.000686	1	0	1
22.0	6.024717	0	0	0
23.0	6.044838	0	0	0
24.0	6.061685	0	0	0
25.0	6.075792	0	0	0
26.0	6.087604	0	0	0
27.0	6.097494	0	0	0
28.0	6.105775	0	0	0
29.0	6.112709	0	0	0
30.0	6.118515	0	0	0
31.0	6.123376	0	0	0
32.0	6.127447	0	0	0
33.0	6.130855	0	0	0
34.0	6.133709	0	0	0
35.0	6.136098	0	0	0
36.0	6.138099	0	0	0
37.0	6.139774	0	0	0
38.0	6.141177	0	0	0
39.0	6.142351	0	0	0
40.0	6.143335	0	0	0
41.0	6.144158	0	0	0
42.0	6.144848	0	0	0
43.0	6.145425	0	0	0
44.0	6.145908	0	0	0
45.0	6.146313	0	0	0
46.0	6.146652	0	0	0
47.0	6.146936	0	0	0
48.0	6.147173	0	0	0
49.0	6.147372	0	0	0
50.0	6.147539	0	0	0
51.0	6.147678	0	0	0
52.0	6.147795	0	0	0
53.0	6.147893	0	0	0
54.0	6.147975	0	0	0
55.0	6.148043	0	0	0
56.0	6.148101	0	0	0
57.0	6.148149	0	0	0
58.0	6.148189	0	0	0
59.0	6.148223	0	0	0
60.0	6.148251	0	0	0
61.0	6.148275	0	0	0
62.0	6.148295	0	0	0
63.0	6.148311	0	0	0
64.0	6.148325	0	0	0
65.0	6.148337	0	0	0
66.0	6.148346	0	0	0
67.0	6.148354	0	0	0
68.0	6.148361	0	0	0
69.0	6.148367	0	0	0
70.0	6.148372	0	0	0
71.0	6.148376	0	0	0
72.0	6.148379	0	0	0
73.0	6.148382	0	0	0
74.0	6.148384	0	0	0
75.0	6.148386	0	0	0
76.0	6.148388	0	0	0
77.0	6.148389	0	0	0
78.0	6.14839	0	0	0
79.0	6.148391	0	0	0
80.0	6.148392	0	0	0
81.0	6.148393	0	0	0
82.0	6.148393	0	0	0
83.0	6.148394	0	0	0
84.0	6.148394	0	0	0
85.0	6.148395	0	0	0
86.0	6.148395	0	0	0
87.0	6.148395	0	0	0
88.0	6.148395	0	0	0
89.0	6.148396	0	0	0
90.0	6.148396	0	0	0
91.0	6.148396	0	0	0
92.0	6.148396	0	0	0
93.0	6.148396	0	0	0
94.0	6.148396	0	0	0
95.0	6.148396	0	0	0
96.0	6.148396	0	0	0
97.0	6.148396	0	0	0
98.0	6.148396	0	0	0
99.0	6.148396	0	0	0
100.0	6.148396	0	0	0

