PeakID (cmd=annotatePeaks.pl /mnt/beegfs/home/s430452/epigenetics/results/s10_dif_summits/master_summits_static.bed hg38 -size 200,200)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
master_peak_7080	chr5	151771822	151771822	+	777.766	NA	promoter-TSS (NM_005754)	promoter-TSS (NM_005754)	-132	NM_005754	10146	Hs.3353	NM_005754	ENSG00000145907	G3BP1	G3BP|HDH-VIII	G3BP stress granule assembly factor 1	protein-coding
master_peak_6674	chr5	146447354	146447354	+	752.041	NA	promoter-TSS (NM_001040006)	promoter-TSS (NM_001040006)	21	NM_006706	10915	Hs.443465	NM_006706	ENSG00000113649	TCERG1	CA150|TAF2S|Urn1	transcription elongation regulator 1	protein-coding
master_peak_2008	chr5	43313866	43313866	+	749.004	NA	promoter-TSS (NM_001330663)	promoter-TSS (NM_001330663)	-454	NM_001324223	3157	Hs.397729	NM_002130	ENSG00000112972	HMGCS1	HMGCS	3-hydroxy-3-methylglutaryl-CoA synthase 1	protein-coding
master_peak_3312	chr5	75337273	75337273	+	743.927	NA	promoter-TSS (NM_000859)	promoter-TSS (NM_000859)	53	NM_000859	3156	Hs.628096	NM_000859	ENSG00000113161	HMGCR	LDLCQ3	3-hydroxy-3-methylglutaryl-CoA reductase	protein-coding
master_peak_111	chr5	1161577	1161577	+	736.823	NA	Intergenic	Intergenic	17028	NR_109911	101928857	Hs.593732	NR_109911	ENSG00000249201	CTD-3080P12.3	-	uncharacterized LOC101928857	ncRNA
master_peak_440	chr5	8457766	8457766	+	716.803	NA	promoter-TSS (NR_039984)	promoter-TSS (NR_039984)	79	NR_039989	100505738	Hs.42197	NR_039989	ENSG00000247516	MIR4458HG	-	MIR4458 host gene	ncRNA
master_peak_785	chr5	14190736	14190736	+	701.509	NA	intron (NM_007118, intron 1 of 56)	intron (NM_007118, intron 1 of 56)	47394	NR_134469	7204	Hs.130031	NM_007118	ENSG00000038382	TRIO	ARHGEF23|MEBAS|MRD44|tgat	trio Rho guanine nucleotide exchange factor	protein-coding
master_peak_5900	chr5	134503728	134503728	+	693.586	NA	Intergenic	Intergenic	-2824	NR_105045	101927934	Hs.535775	NR_105045	ENSG00000251169	LINC01843	-	long intergenic non-protein coding RNA 1843	ncRNA
master_peak_29	chr5	271676	271676	+	690.505	NA	promoter-TSS (NR_073609)	promoter-TSS (NR_073609)	30	NR_073609	10016	Hs.50823	NM_013232	ENSG00000249915	PDCD6	ALG-2|ALG2|PEF1B	programmed cell death 6	protein-coding
master_peak_6405	chr5	141924087	141924087	+	685.235	NA	intron (NM_014773, intron 1 of 11)	intron (NM_014773, intron 1 of 11)	216	NM_001142603	9812	Hs.210532	NM_014773	ENSG00000081791	DELE1	DELE|KIAA0141	DAP3 binding cell death enhancer 1	protein-coding
master_peak_314	chr5	5422540	5422540	+	671.759	NA	promoter-TSS (NM_015325)	promoter-TSS (NM_015325)	-137	NM_015325	23379	Hs.449296	NM_015325	ENSG00000164151	ICE1	KIAA0947	interactor of little elongation complex ELL subunit 1	protein-coding
master_peak_8297	chr5	177426592	177426592	+	661.54	NA	promoter-TSS (NM_001364164)	promoter-TSS (NM_001364164)	-84	NM_001004105	2870	Hs.235116	NM_002082	ENSG00000198055	GRK6	GPRK6	G protein-coupled receptor kinase 6	protein-coding
master_peak_1386	chr5	32313341	32313341	+	660.734	NA	promoter-TSS (NM_001040446)	promoter-TSS (NM_001040446)	-402	NM_001040446	54545	Hs.481836	NM_019061	ENSG00000150712	MTMR12	3-PAP|PIP3AP	myotubularin related protein 12	protein-coding
master_peak_7792	chr5	168579917	168579917	+	658.453	NA	promoter-TSS (NM_024594)	promoter-TSS (NM_024594)	-549	NM_024594	79646	Hs.388400	NM_024594	ENSG00000120137	PANK3	-	pantothenate kinase 3	protein-coding
master_peak_7077	chr5	151745536	151745536	+	652.331	NA	intron (NM_004045, intron 3 of 3)	intron (NM_004045, intron 3 of 3)	13095	NM_004045	475	Hs.125213	NM_004045	ENSG00000177556	ATOX1	ATX1|HAH1	antioxidant 1 copper chaperone	protein-coding
master_peak_7430	chr5	159905944	159905944	+	647.484	NA	Intergenic	AluSx|SINE|Alu	-10538	NM_000679	147	Hs.368632	NM_000679	ENSG00000170214	ADRA1B	ADRA1|ALPHA1BAR	adrenoceptor alpha 1B	protein-coding
master_peak_8149	chr5	175246822	175246822	+	646.963	NA	Intergenic	Intergenic	197360	NM_000794	1812	Hs.2624	NM_000794	ENSG00000184845	DRD1	DADR|DRD1A	dopamine receptor D1	protein-coding
master_peak_4769	chr5	108749050	108749050	+	642.275	NA	intron (NR_146155, intron 1 of 19)	CpG	102	NM_001308038	2241	Hs.107418	NM_005246	ENSG00000151422	FER	PPP1R74|TYK3|p94-Fer	FER tyrosine kinase	protein-coding
master_peak_6299	chr5	140401747	140401747	+	641.922	NA	promoter-TSS (NM_017978)	promoter-TSS (NM_017978)	-67	NM_001197030	54882	Hs.594084	NM_017747	ENSG00000131503	ANKHD1	MASK|MASK1|PP2500|VBARP	ankyrin repeat and KH domain containing 1	protein-coding
master_peak_7446	chr5	160119932	160119932	+	627.319	NA	promoter-TSS (NM_001349735)	promoter-TSS (NM_001349735)	-482	NR_146216	114825	Hs.744960	NM_052927	ENSG00000170234	PWWP2A	MST101	PWWP domain containing 2A	protein-coding
master_peak_5154	chr5	118988720	118988720	+	622.418	NA	promoter-TSS (NM_173666)	promoter-TSS (NM_173666)	-173	NM_173666	285605	Hs.655891	NM_173666	ENSG00000169570	DTWD2	-	DTW domain containing 2	protein-coding
master_peak_581	chr5	10551748	10551748	+	616.147	NA	Intergenic	Intergenic	-12322	NM_001164440	651746	Hs.26039	NM_001164440	ENSG00000164236	ANKRD33B	-	ankyrin repeat domain 33B	protein-coding
master_peak_7039	chr5	151253208	151253208	+	607.931	NA	promoter-TSS (NM_000405)	promoter-TSS (NM_000405)	23	NM_001167607	2760	Hs.483873	NM_000405	ENSG00000196743	GM2A	GM2-AP|SAP-3	GM2 ganglioside activator	protein-coding
master_peak_5678	chr5	131171094	131171094	+	604.198	NA	intron (NR_121658, intron 1 of 2)	intron (NR_121658, intron 1 of 2)	150	NM_181705	90624	Hs.115467	NM_181705	ENSG00000186687	LYRM7	C5orf31|MC3DN8|MZM1L	LYR motif containing 7	protein-coding
master_peak_1934	chr5	41904368	41904368	+	600.82	NA	promoter-TSS (NM_175921)	promoter-TSS (NM_175921)	24	NM_175921	285636	Hs.29899	NM_175921	ENSG00000205765	C5orf51	-	chromosome 5 open reading frame 51	protein-coding
master_peak_6873	chr5	149486531	149486531	+	600.574	NA	Intergenic	Intergenic	55885	NR_029686	406937		NR_029686	ENSG00000276365	MIR145	MIRN145|miR-145|miRNA145	microRNA 145	ncRNA
master_peak_6661	chr5	146203719	146203719	+	599.841	NA	5' UTR (NM_018989, exon 1 of 21)	5' UTR (NM_018989, exon 1 of 21)	114	NM_018989	54439	Hs.61441	NM_018989	ENSG00000091009	RBM27	ARRS1|Psc1|ZC3H18|ZC3H20	RNA binding motif protein 27	protein-coding
master_peak_8411	chr5	179732903	179732903	+	599.054	NA	promoter-TSS (NM_014757).2	promoter-TSS (NM_014757).2	81	NM_014757	9794	Hs.631951	NM_014757	ENSG00000161021	MAML1	Mam-1|Mam1	mastermind like transcriptional coactivator 1	protein-coding
master_peak_222	chr5	3311441	3311441	+	574.997	NA	Intergenic	Intergenic	133606	NR_104617	102467074	Hs.575250	NR_104617	ENSG00000249808	LINC01377	-	long intergenic non-protein coding RNA 1377	ncRNA
master_peak_6877	chr5	149551804	149551804	+	574.077	NA	promoter-TSS (NM_001892)	promoter-TSS (NM_001892)	-365	NM_001271741	1452	Hs.529862	NM_001892	ENSG00000113712	CSNK1A1	CK1|CK1a|CKIa|HEL-S-77p|HLCDGP1|PRO2975	casein kinase 1 alpha 1	protein-coding
master_peak_6127	chr5	138332117	138332117	+	573.51	NA	promoter-TSS (NR_146628)	promoter-TSS (NR_146628)	12	NR_146628	100128966	Hs.666832	NR_146628	ENSG00000120709	LOC100128966	-	uncharacterized LOC100128966	ncRNA
master_peak_8225	chr5	176448386	176448386	+	569.592	NA	promoter-TSS (NM_014613)	promoter-TSS (NM_014613)	1	NM_014613	23197	Hs.484242	NM_014613	ENSG00000113194	FAF2	ETEA|UBXD8|UBXN3B	Fas associated factor family member 2	protein-coding
master_peak_5338	chr5	123423684	123423684	+	567.721	NA	promoter-TSS (NM_001166226)	promoter-TSS (NM_001166226)	-92	NM_153223	153241	Hs.483209	NM_153223	ENSG00000168944	CEP120	CCDC100|JBTS31|SRTD13	centrosomal protein 120	protein-coding
master_peak_4789	chr5	109410398	109410398	+	567.147	NA	promoter-TSS (NM_014819)	promoter-TSS (NM_014819)	-424	NM_014819	9867	Hs.483036	NM_014819	ENSG00000198961	PJA2	Neurodap1|RNF131	praja ring finger ubiquitin ligase 2	protein-coding
master_peak_1004	chr5	17680059	17680059	+	562.855	NA	Intergenic	Charlie3|DNA|hAT-Charlie	-24421	NM_001355258	391769		NM_001355258	ENSG00000269466	H3.Y	-	histone cluster 2, H3c pseudogene	protein-coding
master_peak_5807	chr5	132866760	132866760	+	562.47	NA	promoter-TSS (NM_001288826)	promoter-TSS (NM_001288826)	118	NM_014402	27089	Hs.146602	NM_014402	ENSG00000164405	UQCRQ	MC3DN4|QCR8|QP-C|QPC|UQCR7	ubiquinol-cytochrome c reductase complex III subunit VII	protein-coding
master_peak_8300	chr5	177448180	177448180	+	561.399	NA	promoter-TSS (NM_001174102)	promoter-TSS (NM_001174102)	-145	NM_001174102	80758	Hs.534492	NM_030567	ENSG00000131188	PRR7	-	proline rich 7, synaptic	protein-coding
master_peak_6429	chr5	142216250	142216250	+	559.742	NA	Intergenic	Intergenic	102072	NR_131221	100642175	Hs.684549	NR_131221		SPRY4-IT1	SPRIGHTLY	SPRY4 intronic transcript 1	ncRNA
master_peak_8239	chr5	176647519	176647519	+	559.616	NA	promoter-TSS (NM_001366492)	promoter-TSS (NM_001366492)	35	NM_012171	26262	Hs.532129	NM_012171	ENSG00000048140	TSPAN17	FBX23|FBXO23|TM4SF17	tetraspanin 17	protein-coding
master_peak_8409	chr5	179699035	179699035	+	557.709	NA	promoter-TSS (NM_001746)	promoter-TSS (NM_001746)	68	NM_001024649	821	Hs.567968	NM_001746	ENSG00000127022	CANX	CNX|IP90|P90	calnexin	protein-coding
master_peak_4391	chr5	98310350	98310350	+	554.01	NA	Intergenic	LTR33|LTR|ERVL	-149111	NR_146477	105379098	Hs.566306	NR_146477		LINC01846	-	long intergenic non-protein coding RNA 1846	ncRNA
