PeakID (cmd=annotatePeaks.pl /mnt/beegfs/home/s430452/epigenetics/results/s10_dif_summits/master_summits_up.bed hg38 -size 200,200)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
master_peak_8110	chr5	174230389	174230389	+	108.953	NA	Intergenic	L2a|LINE|L2	-105965	NR_125806	101928176	Hs.436014	NR_125806	ENSG00000249306	LINC01411	-	long intergenic non-protein coding RNA 1411	ncRNA
master_peak_6013	chr5	136205539	136205539	+	84.2554	NA	Intergenic	MLT1H2|LTR|ERVL-MaLR	-12377	NM_001350994	389332	Hs.127680	NM_001350994	ENSG00000271824	SMIM32	-	small integral membrane protein 32	protein-coding
master_peak_3755	chr5	84294537	84294537	+	58.3673	NA	intron (NM_001278642, intron 1 of 9)	intron (NM_001278642, intron 1 of 9)	90330	NM_001278642	10085	Hs.482730	NM_005711	ENSG00000164176	EDIL3	DEL1	EGF like repeats and discoidin domains 3	protein-coding
master_peak_1194	chr5	24094511	24094511	+	54.2054	NA	intron (NR_131245, intron 4 of 4)	MLT2A2|LTR|ERVL	143163	NR_131245	439936	Hs.638078	NR_131245	ENSG00000248874	C5orf17	-	chromosome 5 open reading frame 17 (putative)	ncRNA
master_peak_7457	chr5	160305002	160305002	+	47.3583	NA	intron (NR_131769, intron 2 of 7)	AluSc|SINE|Alu	7562	NM_024565	79616	Hs.14070	NM_024565	ENSG00000135083	CCNJL	-	cyclin J like	protein-coding
master_peak_6114	chr5	138133792	138133792	+	42.229	NA	intron (NM_003551, intron 2 of 5)	L1MB3|LINE|L1	5636	NM_003551	8382	Hs.730856	NM_003551	ENSG00000112981	NME5	NM23-H5|NM23H5|RSPH23	NME/NM23 family member 5	protein-coding
master_peak_1058	chr5	18792646	18792646	+	41.6757	NA	Intergenic	Intergenic	985372	NR_134286	646241	Hs.407197	NR_134286		LINC02223	-	long intergenic non-protein coding RNA 2223	ncRNA
master_peak_5174	chr5	119359709	119359709	+	41.6199	NA	intron (NM_014350, intron 1 of 1)	intron (NM_014350, intron 1 of 1)	3690	NM_014350	25816	Hs.618488	NM_014350	ENSG00000145779	TNFAIP8	GG2-1|MDC-3.13|NDED|SCC-S2|SCCS2	TNF alpha induced protein 8	protein-coding
master_peak_6502	chr5	143026307	143026307	+	41.4057	NA	intron (NR_146198, intron 12 of 22)	L2a|LINE|L2	-157397	NR_046680	100874239	Hs.570896	NR_046680	ENSG00000226272	ARHGAP26-AS1	-	ARHGAP26 antisense RNA 1	ncRNA
master_peak_7078	chr5	151751519	151751519	+	40.233	NA	intron (NM_004045, intron 2 of 3)	MIR|SINE|MIR	7112	NM_004045	475	Hs.125213	NM_004045	ENSG00000177556	ATOX1	ATX1|HAH1	antioxidant 1 copper chaperone	protein-coding
master_peak_6342	chr5	141094814	141094814	+	38.5567	NA	exon (NM_018936, exon 1 of 1)	exon (NM_018936, exon 1 of 1)	199	NM_018936	56133	Hs.533023	NM_018936	ENSG00000112852	PCDHB2	PCDH-BETA2	protocadherin beta 2	protein-coding
master_peak_8158	chr5	175418603	175418603	+	38.3855	NA	Intergenic	Intergenic	25579	NM_000794	1812	Hs.2624	NM_000794	ENSG00000184845	DRD1	DADR|DRD1A	dopamine receptor D1	protein-coding
master_peak_2765	chr5	63456455	63456455	+	36.2359	NA	Intergenic	Tigger3b|DNA|TcMar-Tigger	505837	NM_000524	3350	Hs.247940	NM_000524	ENSG00000178394	HTR1A	5-HT-1A|5-HT1A|5HT1a|ADRB2RL1|ADRBRL1|G-21|PFMCD	5-hydroxytryptamine receptor 1A	protein-coding
