PeakID (cmd=annotatePeaks.pl /mnt/beegfs/home/s430452/epigenetics/results/s10_dif_summits/master_summits_down.bed hg38 -size 200,200)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
master_peak_6592	chr5	144698275	144698275	+	238.352	NA	Intergenic	Intergenic	492884	NM_001370487	57528	Hs.7093	NM_020768	ENSG00000183775	KCTD16	-	potassium channel tetramerization domain containing 16	protein-coding
master_peak_8386	chr5	179276396	179276396	+	195.114	NA	intron (NM_014244, intron 2 of 21)	intron (NM_014244, intron 2 of 21)	69065	NM_014244	9509	Hs.23871	NM_014244	ENSG00000087116	ADAMTS2	ADAM-TS2|ADAMTS-2|ADAMTS-3|EDSDERMS|NPI|PC I-NP|PCI-NP|PCINP|PCPNI|PNPI	ADAM metallopeptidase with thrombospondin type 1 motif 2	protein-coding
master_peak_7223	chr5	155728650	155728650	+	176.363	NA	Intergenic	CpG	-598107	NM_000337	6444	Hs.387207	NM_000337	ENSG00000170624	SGCD	35DAG|CMD1L|DAGD|LGMDR6|SG-delta|SGCDP|SGD	sarcoglycan delta	protein-coding
master_peak_8385	chr5	179267154	179267154	+	162.073	NA	intron (NM_014244, intron 3 of 21)	intron (NM_014244, intron 3 of 21)	78307	NM_014244	9509	Hs.23871	NM_014244	ENSG00000087116	ADAMTS2	ADAM-TS2|ADAMTS-2|ADAMTS-3|EDSDERMS|NPI|PC I-NP|PCI-NP|PCINP|PCPNI|PNPI	ADAM metallopeptidase with thrombospondin type 1 motif 2	protein-coding
master_peak_8384	chr5	179259581	179259581	+	160.482	NA	intron (NM_014244, intron 3 of 21)	intron (NM_014244, intron 3 of 21)	85880	NM_014244	9509	Hs.23871	NM_014244	ENSG00000087116	ADAMTS2	ADAM-TS2|ADAMTS-2|ADAMTS-3|EDSDERMS|NPI|PC I-NP|PCI-NP|PCINP|PCPNI|PNPI	ADAM metallopeptidase with thrombospondin type 1 motif 2	protein-coding
master_peak_4827	chr5	110387223	110387223	+	151.536	NA	Intergenic	Intergenic	126692	NR_031644	100302159		NR_031644	ENSG00000221436	MIR548F3	MIR548F-3|MIRN548F3|hsa-mir-548f-3	microRNA 548f-3	ncRNA
master_peak_6744	chr5	147764524	147764524	+	132.794	NA	intron (NM_001270934, intron 1 of 20)	intron (NM_001270934, intron 1 of 20)	18204	NM_001270941	9832	Hs.740461	NM_014790	ENSG00000176049	JAKMIP2	JAMIP2|NECC1	janus kinase and microtubule interacting protein 2	protein-coding
master_peak_236	chr5	3695230	3695230	+	127.637	NA	Intergenic	Intergenic	99398	NM_024337	79192	Hs.424156	NM_024337	ENSG00000170549	IRX1	IRX-5|IRXA1	iroquois homeobox 1	protein-coding
master_peak_8059	chr5	173290861	173290861	+	127.205	NA	Intergenic	Intergenic	-12869	NR_162132	113219469		NR_162132		MIR12118	-	microRNA 12118	ncRNA
master_peak_6335	chr5	140966745	140966745	+	121.947	NA	promoter-TSS (NM_031883)	promoter-TSS (NM_031883)	-22	NM_031883	56134	Hs.199343	NM_018899	ENSG00000243232	PCDHAC2	PCDH-ALPHA-C2	protocadherin alpha subfamily C, 2	protein-coding
