# Program:featureCounts v2.0.4; Command:"featureCounts" "-p" "-a" "/mnt/beegfs/home/s430452/epigenetics/results/s08_counts/master_peaks.saf" "-F" "SAF" "-o" "/mnt/beegfs/home/s430452/epigenetics/results/s08_counts/master_peaks_counts.txt" "-T" "6" "/mnt/beegfs/home/s430452/epigenetics/results/s05_final_bams/ARID2ko_final.bam" "/mnt/beegfs/home/s430452/epigenetics/results/s05_final_bams/ARID2wt_final.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/beegfs/home/s430452/epigenetics/results/s05_final_bams/ARID2ko_final.bam	/mnt/beegfs/home/s430452/epigenetics/results/s05_final_bams/ARID2wt_final.bam
master_peak_13	chr5	47236	47815	.	580	102	140
master_peak_14	chr5	53207	54135	.	929	97	565
master_peak_15	chr5	78314	79005	.	692	286	376
master_peak_16	chr5	91031	92210	.	1180	81	312
master_peak_17	chr5	102579	103154	.	576	53	55
master_peak_18	chr5	129485	130079	.	595	30	80
master_peak_19	chr5	136985	137338	.	354	45	53
master_peak_20	chr5	152903	153789	.	887	542	752
master_peak_21	chr5	159369	160381	.	1013	244	609
master_peak_22	chr5	168095	169021	.	927	415	609
master_peak_23	chr5	169387	169850	.	464	54	239
master_peak_24	chr5	188393	189189	.	797	515	607
master_peak_25	chr5	197122	197498	.	377	45	74
master_peak_26	chr5	217713	219640	.	1928	1108	1843
master_peak_27	chr5	250360	250768	.	409	15	21
master_peak_28	chr5	263557	263852	.	296	33	32
master_peak_29	chr5	270988	272031	.	1044	1733	2447
master_peak_30	chr5	310580	311451	.	872	375	388
master_peak_31	chr5	316964	317755	.	792	467	556
master_peak_32	chr5	318366	318874	.	509	311	314
master_peak_33	chr5	321343	322106	.	764	315	435
master_peak_34	chr5	329133	329685	.	553	60	159
master_peak_35	chr5	337681	338037	.	357	97	65
master_peak_36	chr5	353096	353588	.	493	36	36
master_peak_37	chr5	361362	361636	.	275	12	22
master_peak_38	chr5	367890	369517	.	1628	1016	1811
master_peak_39	chr5	373897	374275	.	379	51	120
master_peak_40	chr5	378488	379818	.	1331	318	708
master_peak_41	chr5	395322	395703	.	382	162	282
master_peak_42	chr5	399528	400350	.	823	518	1041
master_peak_43	chr5	414227	414542	.	316	47	54
master_peak_44	chr5	418839	419199	.	361	51	47
master_peak_45	chr5	424469	424979	.	511	153	198
master_peak_46	chr5	430885	432087	.	1203	762	950
master_peak_47	chr5	436267	436767	.	501	176	190
master_peak_48	chr5	442476	443579	.	1104	521	739
master_peak_49	chr5	446775	447052	.	278	68	74
master_peak_50	chr5	458671	459275	.	605	122	115
master_peak_51	chr5	472198	474079	.	1882	616	1102
master_peak_52	chr5	478771	479284	.	514	91	107
master_peak_53	chr5	480333	480776	.	444	57	86
master_peak_54	chr5	486107	486429	.	323	45	26
master_peak_55	chr5	493506	493848	.	343	44	34
master_peak_56	chr5	506345	506610	.	266	31	10
master_peak_57	chr5	511777	512029	.	253	28	31
master_peak_58	chr5	514009	514637	.	629	60	72
master_peak_59	chr5	525985	526311	.	327	39	56
master_peak_60	chr5	526887	527213	.	327	42	54
master_peak_61	chr5	535919	536342	.	424	62	54
master_peak_62	chr5	539015	539469	.	455	62	80
master_peak_65	chr5	567545	568379	.	835	58	105
master_peak_66	chr5	579606	580244	.	639	49	42
master_peak_67	chr5	586905	587142	.	238	26	36
master_peak_68	chr5	592115	592332	.	218	22	36
master_peak_69	chr5	604548	604819	.	272	32	43
master_peak_70	chr5	611585	612798	.	1214	729	988
master_peak_71	chr5	633512	634396	.	885	107	110
master_peak_72	chr5	657274	658425	.	1152	1701	1712
master_peak_73	chr5	669216	670060	.	845	607	660
master_peak_74	chr5	671491	672972	.	1482	881	1134
master_peak_75	chr5	683531	683822	.	292	48	33
master_peak_76	chr5	692675	693964	.	1290	156	328
